Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 11
J1: 1,J2: -0.1,R1: 1,R2: 9,h = 6

Iteration:,0
Entropy:,0.601154
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.20231
1,0.523951,1.30017,0.097862
2,0.158395,1.38345,0.181139
3,0.00123457,1.3625,0.160197
4,0.0888272,1.30459,0.10228
5,0.133827,1.24739,0.0450829
6,0.152716,1.2188,0.0164892
7,0.149383,1.2263,0.0239917
8,0.130216,1.25931,0.0570014
9,0.100988,1.30109,0.0987827
10,0.074716,1.33376,0.131452
11,0.0566554,1.35249,0.150185
12,0.0504938,1.3597,0.157393
13,0.0557075,1.35748,0.155175
14,0.0646208,1.34823,0.145922


Iteration:,1
Entropy:,0.607051
Corr Length:,6
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.2141
1,0.543921,1.30443,0.0903237
2,0.180588,1.3926,0.178495
3,0.00466173,1.38415,0.170046
4,0.108857,1.32265,0.108547
5,0.175635,1.24704,0.03294
6,0.199412,1.19831,0.0157967
7,0.185285,1.20754,0.00655893
8,0.141079,1.26347,0.0493722
9,0.0862025,1.32299,0.108886
10,0.0429679,1.36045,0.146345
11,0.0203214,1.3773,0.163197
12,0.0188568,1.38045,0.166343
13,0.0343696,1.37395,0.159844
14,0.0590949,1.35797,0.143869


Iteration:,2
Entropy:,0.608013
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.21603
1,0.539067,1.31063,0.0946003
2,0.177956,1.39652,0.180492
3,0.000933333,1.3799,0.163872
4,0.108156,1.31252,0.0964935
5,0.166267,1.24138,0.0253496
6,0.178341,1.20676,0.00927183
7,0.156806,1.2246,0.0085697
8,0.1151,1.27839,0.0623614
9,0.0737728,1.32852,0.11249
10,0.0447111,1.35912,0.143093
11,0.0324485,1.3714,0.155371
12,0.035563,1.37241,0.15638
13,0.0428137,1.36595,0.149928
14,0.0542667,1.35475,0.138721


Iteration:,3
Entropy:,0.617311
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.23462
1,0.536647,1.33979,0.105172
2,0.166647,1.41869,0.184064
3,0.0115012,1.39478,0.16016
4,0.118909,1.32143,0.0868045
5,0.174464,1.24474,0.0101179
6,0.186686,1.20884,0.0257787
7,0.166528,1.23368,0.000941483
8,0.124186,1.29021,0.0555867
9,0.0719951,1.3458,0.111179
10,0.0251309,1.38323,0.148611
11,0.00432368,1.40082,0.166197
12,0.00831358,1.40395,0.169329
13,0.00728471,1.39744,0.162813
14,0.0373213,1.38161,0.146988


Averages
Entropy:,0.608382
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.21676
1,0.535896,1.31375,0.0969894
2,0.170896,1.39781,0.181047
3,0.00458272,1.38033,0.163569
4,0.106187,1.3153,0.0985314
5,0.162548,1.24514,0.0283726
6,0.179289,1.20818,0.0168341
7,0.164501,1.22303,0.0100155
8,0.127645,1.27285,0.0560805
9,0.0832395,1.3246,0.107835
10,0.0468815,1.35914,0.142375
11,0.0284373,1.3755,0.158738
12,0.0283068,1.37913,0.162361
13,0.0350439,1.37371,0.15694
14,0.0538259,1.36064,0.143875


