Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 33
J1: 1,J2: -0.1,R1: 7,R2: 14,h = -3

Iteration:,0
Entropy:,0.646756
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.29351
1,0.835328,1.12056,0.172947
2,0.551995,1.22377,0.0697372
3,0.435328,1.3012,0.00769015
4,0.359773,1.36082,0.0673061
5,0.300662,1.40647,0.112957
6,0.249402,1.4404,0.146889
7,0.202313,1.46424,0.17073
8,0.158106,1.4786,0.185089
9,0.116069,1.48424,0.190727
10,0.0759951,1.48169,0.18818
11,0.0403789,1.47199,0.178482
12,0.0110691,1.45789,0.164374
13,0.0135605,1.44193,0.148417
14,0.0343541,1.42543,0.131917


Iteration:,1
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Iteration:,2
Entropy:,0.652776
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.30555
1,0.844795,1.13363,0.171919
2,0.562573,1.2361,0.069449
3,0.447017,1.31322,0.00766893
4,0.373128,1.37273,0.0671793
5,0.315906,1.41841,0.112856
6,0.267017,1.45247,0.146915
7,0.22289,1.47644,0.170884
8,0.182017,1.49119,0.185638
9,0.14356,1.49722,0.19167
10,0.106573,1.49514,0.18959
11,0.0720678,1.48559,0.180033
12,0.0440543,1.47092,0.165366
13,0.0206925,1.45417,0.148614
14,0.000826808,1.43673,0.131179


Iteration:,3
Entropy:,0.627704
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.25541
1,0.798662,1.09194,0.163466
2,0.515328,1.19403,0.0613774
3,0.398662,1.27024,0.0148322
4,0.323106,1.32853,0.0731209
5,0.263995,1.37273,0.117318
6,0.213477,1.40506,0.149651
7,0.167551,1.42711,0.171704
8,0.124773,1.43948,0.184075
9,0.0843407,1.44289,0.187483
10,0.0486617,1.43822,0.182812
11,0.0186617,1.42797,0.172559
12,0.00615309,1.41502,0.159608
13,0.0271502,1.40101,0.145601
14,0.0451478,1.3868,0.131393


Averages
Entropy:,0.481809
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.963618
1,0.619696,0.836535,0.127083
2,0.469974,0.913477,0.0501409
3,0.403585,0.971166,0.00754783
4,0.357752,1.01552,0.0519016
5,0.320141,1.0494,0.0857826
6,0.286641,1.07448,0.110864
7,0.255331,1.09195,0.128329
8,0.225599,1.10232,0.1387
9,0.197104,1.10609,0.14247
10,0.170307,1.10376,0.140145
11,0.146413,1.09639,0.132768
12,0.129902,1.08596,0.122337
13,0.130735,1.07428,0.110658
14,0.136154,1.06224,0.098622


