Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 27
J1: 1,J2: -0.1,R1: 3,R2: 14,h = 0

Iteration:,0
Entropy:,0.693147
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.811111,1.35669,0.0296055
2,0.477778,1.47964,0.0933491
3,0.31037,1.55405,0.167755
4,0.184444,1.58399,0.197697
5,0.0777778,1.57448,0.188188
6,0.0185185,1.53117,0.144872
7,0.106984,1.45791,0.0716125
8,0.166389,1.37966,0.00663104
9,0.188395,1.32911,0.0571821
10,0.184222,1.31255,0.07374
11,0.164242,1.32494,0.0613548
12,0.132593,1.35708,0.0292155
13,0.0924786,1.40095,0.0146581
14,0.0452381,1.45045,0.0641521


Iteration:,1
Entropy:,0.693147
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.797778,1.3714,0.0148976
2,0.493333,1.48913,0.102835
3,0.337778,1.56106,0.174767
4,0.218889,1.58493,0.198632
5,0.120889,1.56845,0.182158
6,0.0366667,1.52096,0.134664
7,0.0336508,1.45518,0.0688886
8,0.0891667,1.38777,0.00147495
9,0.125432,1.33657,0.0497292
10,0.138222,1.31989,0.0664086
11,0.130303,1.33856,0.0477356
12,0.107963,1.38009,0.00620026
13,0.0760684,1.42901,0.0427166
14,0.041746,1.47165,0.0853522


Iteration:,2
Entropy:,0.693137
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38627
1,0.795536,1.37376,0.0125122
2,0.476647,1.49052,0.104249
3,0.312573,1.56104,0.174767
4,0.187758,1.58493,0.198658
5,0.0822025,1.56669,0.180412
6,0.0170568,1.51073,0.124452
7,0.101925,1.4259,0.0396217
8,0.153909,1.34436,0.0419142
9,0.173847,1.30197,0.0843093
10,0.165798,1.30407,0.0822094
11,0.140222,1.33576,0.0505161
12,0.0998346,1.38363,0.00264352
13,0.0526693,1.43605,0.0497783
14,0.00573404,1.48492,0.0986495


Iteration:,3
Entropy:,0.692058
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38412
1,0.806711,1.35745,0.0266624
2,0.514489,1.47321,0.0890933
3,0.366711,1.55073,0.166611
4,0.2606,1.58114,0.197022
5,0.168044,1.57338,0.189268
6,0.0859704,1.53332,0.149206
7,0.0149651,1.46888,0.0847601
8,0.0402333,1.39771,0.01359
9,0.0826716,1.33496,0.0491594
10,0.103511,1.30218,0.0819334
11,0.102582,1.31803,0.0660857
12,0.0881037,1.35731,0.0268101
13,0.061665,1.40568,0.0215672
14,0.0317016,1.44939,0.065273


Averages
Entropy:,0.692872
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38574
1,0.802784,1.36483,0.0209194
2,0.490562,1.48313,0.0973816
3,0.331858,1.55672,0.170975
4,0.212923,1.58375,0.198002
5,0.112228,1.57075,0.185007
6,0.0395531,1.52404,0.138299
7,0.0643811,1.45197,0.0662207
8,0.112424,1.37737,0.0159026
9,0.142586,1.32565,0.060095
10,0.147938,1.30967,0.0760729
11,0.134337,1.32932,0.056423
12,0.107123,1.36953,0.0162173
13,0.0707203,1.41792,0.03218
14,0.0311049,1.4641,0.0783567


