Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 9
J1: 1,J2: -0.1,R1: 1,R2: 9,h = 0

Iteration:,0
Entropy:,0.693147
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.655556,1.49054,0.104247
2,0.261111,1.58023,0.19394
3,0.0451852,1.56282,0.176525
4,0.107778,1.47478,0.0884854
5,0.204,1.36848,0.0178165
6,0.225926,1.31009,0.0762072
7,0.180635,1.33533,0.0509684
8,0.0927778,1.4097,0.0234098
9,0.000987654,1.48655,0.100258
10,0.0735556,1.53597,0.14968
11,0.117172,1.55891,0.172613
12,0.121667,1.56325,0.176955
13,0.0936752,1.55551,0.169216
14,0.042381,1.53409,0.147795


Iteration:,1
Entropy:,0.693125
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38625
1,0.635511,1.50265,0.116403
2,0.241067,1.58443,0.198177
3,0.0421778,1.54782,0.16157
4,0.0772667,1.46438,0.0781317
5,0.144933,1.38778,0.0015258
6,0.1656,1.35105,0.0352043
7,0.137822,1.37463,0.0116223
8,0.0739333,1.4371,0.0508465
9,0.00522963,1.49607,0.109816
10,0.0426222,1.53096,0.144709
11,0.0629859,1.54228,0.156035
12,0.0618074,1.54092,0.154672
13,0.0496991,1.53413,0.14788
14,0.0324952,1.52341,0.137156


Iteration:,2
Entropy:,0.692848
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3857
1,0.670514,1.47988,0.0941797
2,0.289402,1.57919,0.193496
3,0.0860691,1.56208,0.176382
4,0.0544864,1.47608,0.0903801
5,0.143709,1.37374,0.0119615
6,0.184301,1.30453,0.0811648
7,0.164407,1.31357,0.0721283
8,0.104486,1.38735,0.00165669
9,0.0299802,1.47236,0.086662
10,0.0378469,1.53101,0.145314
11,0.0838469,1.55973,0.17403
12,0.100699,1.56741,0.181711
13,0.0903426,1.56224,0.176545
14,0.0592437,1.54461,0.158909


Iteration:,3
Entropy:,0.693108
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38622
1,0.664365,1.48475,0.0985343
2,0.272143,1.57896,0.192745
3,0.0539951,1.56386,0.177645
4,0.101746,1.47084,0.0846239
5,0.197857,1.3583,0.0279198
6,0.224153,1.2981,0.0881155
7,0.183889,1.32332,0.0628984
8,0.104246,1.40071,0.0144915
9,0.0136593,1.48349,0.0972785
10,0.0632543,1.53663,0.150415
11,0.111638,1.56125,0.175032
12,0.122514,1.56671,0.180495
13,0.0980406,1.55839,0.172176
14,0.0530956,1.53745,0.151231


Averages
Entropy:,0.693057
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38611
1,0.656486,1.48945,0.103341
2,0.265931,1.5807,0.19459
3,0.0568568,1.55914,0.173031
4,0.0853191,1.47152,0.0854053
5,0.172625,1.37207,0.0148059
6,0.199995,1.31594,0.070173
7,0.166688,1.33671,0.0494043
8,0.0938608,1.40872,0.0226011
9,0.0124642,1.48462,0.0985036
10,0.0543198,1.53364,0.14753
11,0.0939107,1.55554,0.169427
12,0.101672,1.55957,0.173458
13,0.0829394,1.55257,0.166454
14,0.0468039,1.53489,0.148773


