Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 8
J1: 1,J2: -0.1,R1: 1,R2: 9,h = -3

Iteration:,0
Entropy:,0.678435
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.35687
1,0.626277,1.46484,0.107971
2,0.25961,1.55018,0.193308
3,0.0744247,1.53058,0.17371
4,0.0465012,1.45199,0.0951182
5,0.12039,1.36052,0.00364643
6,0.148909,1.30439,0.0524819
7,0.136263,1.31116,0.0457131
8,0.0937235,1.37122,0.0143457
9,0.0364395,1.44583,0.0889583
10,0.0151654,1.49964,0.142772
11,0.0482967,1.52716,0.170285
12,0.0575728,1.53409,0.177221
13,0.0461056,1.52749,0.170617
14,0.0219908,1.50787,0.151


Iteration:,1
Entropy:,0.678049
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3561
1,0.6144,1.47086,0.114759
2,0.256622,1.55047,0.194372
3,0.0751407,1.5244,0.168298
4,0.0422667,1.4403,0.0842041
5,0.114489,1.34471,0.0113924
6,0.137822,1.29489,0.0612045
7,0.121156,1.31134,0.0447605
8,0.0797667,1.37877,0.0226697
9,0.0263407,1.45371,0.0976111
10,0.0208444,1.50399,0.147894
11,0.0544,1.5303,0.174201
12,0.0588444,1.53641,0.180316
13,0.0436308,1.52815,0.172049
14,0.0190032,1.50768,0.151578


Iteration:,2
Entropy:,0.677657
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.35531
1,0.638069,1.45504,0.0997235
2,0.296958,1.54592,0.190602
3,0.120291,1.53116,0.175843
4,0.0113753,1.43745,0.0821403
5,0.0992642,1.31957,0.0357402
6,0.143042,1.25338,0.101934
7,0.141931,1.27964,0.0756784
8,0.10582,1.36449,0.00917493
9,0.0466222,1.45699,0.101678
10,0.0105136,1.51513,0.159814
11,0.0532207,1.53817,0.182854
12,0.0751062,1.54268,0.187365
13,0.069864,1.53527,0.179951
14,0.0409263,1.5116,0.156285


Iteration:,3
Entropy:,0.676859
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.35372
1,0.625378,1.46071,0.10699
2,0.253156,1.54762,0.193903
3,0.0616741,1.51935,0.165632
4,0.0568444,1.43098,0.0772594
5,0.126622,1.336,0.0177139
6,0.143881,1.29489,0.0588268
7,0.120019,1.32751,0.0262096
8,0.0710111,1.40206,0.0483419
9,0.0183259,1.46868,0.114962
10,0.0218222,1.50823,0.154514
11,0.0401253,1.52336,0.16964
12,0.0392667,1.52323,0.169513
13,0.0223009,1.5113,0.157588
14,0.00125079,1.48921,0.135491


Averages
Entropy:,0.67775
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3555
1,0.626031,1.46286,0.107361
2,0.266586,1.54855,0.193046
3,0.0828827,1.52637,0.170871
4,0.0392469,1.44018,0.0846805
5,0.115191,1.3402,0.0171232
6,0.143414,1.28689,0.0686118
7,0.129842,1.30741,0.0480904
8,0.0875802,1.37913,0.0236331
9,0.0319321,1.4563,0.100802
10,0.0170864,1.50675,0.151249
11,0.0490107,1.52974,0.174245
12,0.0576975,1.5341,0.178604
13,0.0454753,1.52555,0.170051
14,0.0207928,1.50409,0.148588


