Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 4
J1: 1,J2: -0.1,R1: 1,R2: 5,h = 0

Iteration:,0
Entropy:,0.6929
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3858
1,0.483951,1.56512,0.179316
2,0.0761728,1.55214,0.166344
3,0.0567901,1.46181,0.0760079
4,0.0599383,1.43874,0.0529356
5,0.0240494,1.47053,0.0847272
6,0.0045679,1.49611,0.110306
7,0.00366843,1.50181,0.116012
8,0.00354938,1.50136,0.115561
9,0.000493827,1.50332,0.117519
10,0.00261728,1.5015,0.115698
11,0.00597082,1.49848,0.112676
12,0.00469136,1.49705,0.111247
13,0.00408357,1.49661,0.110813
14,0.00684303,1.49769,0.11189


Iteration:,1
Entropy:,0.690617
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38123
1,0.452721,1.56693,0.185698
2,0.0338321,1.53075,0.149518
3,0.0806123,1.43608,0.0548505
4,0.0645012,1.43281,0.051579
5,0.0228346,1.47446,0.0932291
6,0.00135309,1.50218,0.120948
7,0.000294885,1.50584,0.124607
8,0.00533457,1.49999,0.118758
9,0.00357531,1.49405,0.112819
10,0.00283457,1.48938,0.108147
11,0.00303659,1.48853,0.107299
12,0.000241975,1.49483,0.113594
13,0.0021227,1.50392,0.122686
14,0.00219965,1.50717,0.125938


Iteration:,2
Entropy:,0.69121
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38242
1,0.473906,1.56352,0.181103
2,0.0594617,1.54311,0.160686
3,0.0786864,1.43991,0.0574876
4,0.0772049,1.42511,0.0426854
5,0.0332049,1.46871,0.0862888
6,0.00094321,1.50155,0.119132
7,0.0129538,1.50855,0.126127
8,0.0108506,1.50356,0.121138
9,0.00131358,1.49639,0.113966
10,0.00676049,1.49111,0.108691
11,0.00548777,1.49307,0.110647
12,0.00350123,1.49626,0.113842
13,0.00182032,1.49858,0.116164
14,0.00736367,1.49719,0.114766


Iteration:,3
Entropy:,0.693137
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38627
1,0.468869,1.56944,0.183165
2,0.0510914,1.54392,0.15765
3,0.0859457,1.44322,0.0569454
4,0.0833531,1.42843,0.0421552
5,0.0346864,1.47253,0.0862546
6,0.00220247,1.50218,0.115905
7,0.0187104,1.51132,0.125045
8,0.0174802,1.51138,0.125101
9,0.0135605,1.5098,0.123525
10,0.00464691,1.50533,0.119056
11,0.0113329,1.49485,0.108572
12,0.0168716,1.48702,0.100745
13,0.0114727,1.48805,0.101774
14,0.00319436,1.49392,0.107642


Averages
Entropy:,0.691966
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38393
1,0.469862,1.56625,0.18232
2,0.0551395,1.54248,0.15855
3,0.0755086,1.44526,0.0613229
4,0.0712494,1.43127,0.0473388
5,0.0286938,1.47156,0.0876249
6,0.00226667,1.5005,0.116572
7,0.00890688,1.50688,0.122948
8,0.0093037,1.50407,0.120139
9,0.0047358,1.50089,0.116957
10,0.00421481,1.49683,0.112898
11,0.00645701,1.49373,0.109798
12,0.00632654,1.49379,0.109857
13,0.00487483,1.49679,0.112859
14,0.00490018,1.49899,0.115059


