Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 7
J1: 1,J2: -0.1,R1: 1,R2: 9,h = -6

Iteration:,0
Entropy:,0.619101
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.2382
1,0.551156,1.3358,0.0975991
2,0.178933,1.42116,0.182954
3,0.00217778,1.40222,0.164019
4,0.107733,1.3324,0.0942021
5,0.163956,1.26287,0.0246713
6,0.180696,1.22512,0.0130792
7,0.163448,1.2374,0.000801201
8,0.124678,1.28587,0.0476695
9,0.0742765,1.34192,0.103714
10,0.0346222,1.38264,0.144438
11,0.0108646,1.40245,0.164251
12,0.00958519,1.40651,0.168313
13,0.0278188,1.39907,0.160866
14,0.0569397,1.37952,0.141314


Iteration:,1
Entropy:,0.613662
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.22732
1,0.5364,1.3292,0.101871
2,0.169733,1.41017,0.182843
3,0.0073037,1.38749,0.16017
4,0.120267,1.31133,0.0840103
5,0.178711,1.23256,0.00523821
6,0.192119,1.20015,0.0271744
7,0.174076,1.22625,0.00107306
8,0.124433,1.29109,0.0637663
9,0.0660691,1.35135,0.124025
10,0.0216,1.38549,0.158166
11,0.00501414,1.39689,0.169569
12,0.0100815,1.39565,0.168329
13,0.0338564,1.38323,0.155906
14,0.0636,1.36037,0.133045


Iteration:,2
Entropy:,0.615498
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.231
1,0.555432,1.32209,0.0910892
2,0.20321,1.41052,0.179522
3,0.0354321,1.40246,0.171463
4,0.0667901,1.3423,0.1113
5,0.129457,1.27267,0.0416703
6,0.155309,1.23177,0.000773464
7,0.153139,1.23497,0.00397735
8,0.132623,1.27108,0.0400819
9,0.107284,1.31471,0.0837134
10,0.0861235,1.34847,0.117474
11,0.0706285,1.36968,0.13868
12,0.0608642,1.38096,0.149959
13,0.0551662,1.38482,0.153827
14,0.0505996,1.38279,0.15179


Iteration:,3
Entropy:,0.602152
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.2043
1,0.516933,1.30763,0.103327
2,0.154711,1.3866,0.182297
3,0.0104741,1.35642,0.152113
4,0.104178,1.28363,0.0793235
5,0.146178,1.22624,0.0219372
6,0.154178,1.217,0.0126979
7,0.137035,1.25102,0.0467205
8,0.105011,1.29809,0.0937908
9,0.0741778,1.33369,0.129388
10,0.0566222,1.35055,0.146248
11,0.0543798,1.35337,0.149068
12,0.0612148,1.34776,0.14346
13,0.0726393,1.33777,0.133471
14,0.0859238,1.32688,0.122577


Averages
Entropy:,0.612603
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.22521
1,0.53998,1.32368,0.0984715
2,0.176647,1.40711,0.181904
3,0.0138469,1.38715,0.161941
4,0.099742,1.31742,0.092209
5,0.154575,1.24859,0.0233792
6,0.170575,1.21851,0.0134313
7,0.156925,1.23741,0.013143
8,0.121686,1.28653,0.0613271
9,0.0804519,1.33542,0.11021
10,0.049742,1.36679,0.141581
11,0.0352218,1.3806,0.155392
12,0.0354364,1.38272,0.157515
13,0.0473702,1.37622,0.151018
14,0.0642658,1.36239,0.137182


